Id,Nombre,Tipo,Tiempo
51,Falito,BMX,90
52,Hyacinthia,BMX,97
53,Mauricio,PLAYERA,87
54,Gayler,BMX,53
55,Warren,PLAYERA,108
56,Monique,PLAYERA,51
57,Kania,BMX,100
58,Damara,MTB,88
59,Ellerey,MTB,55
60,Sylvan,BMX,71
61,Shannon,PLAYERA,103
62,Avis,MTB,71
63,Herrick,PASEO,113
64,Rolph,PASEO,87
65,Kirbee,PLAYERA,73
66,Jimmie,PLAYERA,79
67,Buddie,PLAYERA,120
68,Jobie,MTB,109
69,Lothario,PLAYERA,77
70,Jenda,PASEO,60
71,Lynea,PASEO,80
72,Henriette,PASEO,108
73,Giorgio,PASEO,54
74,Karrah,PASEO,67
75,Blayne,BMX,59
76,Becki,BMX,83
77,Zorine,BMX,64
78,Fern,BMX,100
79,Kalila,MTB,75
80,Celle,PASEO,68
81,Auberta,PLAYERA,65
82,Lisa,PASEO,71
83,Adams,PLAYERA,120
84,Shea,PASEO,50
85,Laurens,PASEO,104
86,Alla,PLAYERA,70
87,Izabel,PASEO,84
88,Spenser,BMX,92
89,Rollins,MTB,96
90,Sol,PLAYERA,98
91,Buiron,MTB,71
92,Keri,BMX,100
93,Richmound,MTB,53
94,Dorree,MTB,105
95,Essie,PLAYERA,78
96,Torie,PASEO,56
97,Christi,MTB,82
98,Sancho,BMX,104
99,Somerset,PASEO,114
100,Violet,BMX,62
